Episode,Revenue,Reward,Bookings,Inventory_Left
1,98500,952.5,25,75
2,105000,1015.0,26,74
3,121000,1215.0,30,70
4,121000,1215.0,30,70
5,108500,1062.5,27,73
6,102000,1000.0,26,74
7,89500,877.5,24,76
8,105000,1015.0,26,74
9,101500,1057.5,28,72
10,100500,962.5,25,75
11,112500,1112.5,28,72
12,105000,1015.0,26,74
13,104500,992.5,26,74
14,106000,1110.0,29,71
15,104500,1012.5,26,74
16,95000,965.0,26,74
17,104500,1012.5,26,74
18,116500,1162.5,29,71
19,117000,1165.0,29,71
20,108500,1052.5,27,73
21,109000,1065.0,27,73
22,112500,1102.5,28,72
23,105000,1015.0,26,74
24,112500,1112.5,28,72
25,117000,1165.0,29,71
26,113000,1115.0,28,72
27,113000,1115.0,28,72
28,100500,962.5,25,75
29,104500,1012.5,26,74
30,108500,1062.5,27,73
31,105000,1015.0,26,74
32,84000,810.0,23,77
33,105000,1015.0,26,74
34,117000,1165.0,29,71
35,117000,1165.0,29,71
36,112500,1112.5,28,72
37,103500,1007.5,26,74
38,116500,1162.5,29,71
39,97500,1007.5,27,73
40,105000,995.0,26,74
41,117000,1165.0,29,71
42,109000,1065.0,27,73
43,121000,1215.0,30,70
44,108500,1062.5,27,73
45,89500,907.5,25,75
46,109000,1065.0,27,73
47,103000,1035.0,27,73
48,113000,1115.0,28,72
49,117000,1165.0,29,71
50,108500,1062.5,27,73
51,121000,1215.0,30,70
52,87000,835.0,23,77
53,113000,1115.0,28,72
54,90500,892.5,25,75
55,109000,1065.0,27,73
56,112500,1102.5,28,72
57,111500,1137.5,29,71
58,108500,1062.5,27,73
59,105000,1015.0,26,74
60,109000,1055.0,27,73
61,105500,1107.5,29,71
62,108500,1062.5,27,73
63,112500,1112.5,28,72
64,121000,1215.0,30,70
65,117000,1165.0,29,71
66,116500,1162.5,29,71
67,117000,1165.0,29,71
68,101000,965.0,25,75
69,92000,880.0,24,76
70,106000,1110.0,29,71
71,105000,1015.0,26,74
72,117000,1165.0,29,71
73,113000,1115.0,28,72
74,117000,1165.0,29,71
75,94000,960.0,26,74
76,112500,1112.5,28,72
77,113000,1115.0,28,72
78,117000,1165.0,29,71
79,109000,1065.0,27,73
80,95000,965.0,26,74
81,100500,952.5,25,75
82,121000,1215.0,30,70
83,112500,1102.5,28,72
84,113000,1115.0,28,72
85,121000,1215.0,30,70
86,105500,1037.5,27,73
87,108500,1062.5,27,73
88,97000,915.0,24,76
89,102000,1060.0,28,72
90,106000,1110.0,29,71
91,99000,985.0,26,74
92,105000,1015.0,26,74
93,101000,965.0,25,75
94,117000,1165.0,29,71
95,100500,962.5,25,75
96,112500,1102.5,28,72
97,117000,1165.0,29,71
98,89000,895.0,25,75
99,105000,1005.0,26,74
100,112500,1102.5,28,72
101,97500,1007.5,27,73
102,102500,1062.5,28,72
103,102000,1030.0,27,73
104,121000,1215.0,30,70
105,89000,845.0,23,77
106,113000,1115.0,28,72
107,121000,1215.0,30,70
108,105000,1005.0,26,74
109,104000,1000.0,26,74
110,106000,1110.0,29,71
111,112500,1112.5,28,72
112,102000,1030.0,27,73
113,99500,987.5,26,74
114,113000,1115.0,28,72
115,109000,1065.0,27,73
116,104500,1012.5,26,74
117,108500,1062.5,27,73
